INFO  - 2019-07-01 12:43:54.877; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 12:44:36.731; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 12:44:39.131; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 12:45:06.027; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 12:45:08.638; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 12:55:49.813; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 12:55:52.792; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 12:56:54.018; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 13:10:10.088; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 13:10:13.015; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 13:11:03.172; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-07-01 13:11:07.080; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 13:11:17.313; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-07-01 14:24:55.517; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
